name,symbol,price,market_cap,circulating_supply,total_supply,volume_24h,price_change_24h,link
General Impressions,gen,0.00526003,5261249,1000000000.0,1000000000.0,94710.0,-4.52428,https://www.coingecko.com/en/coins/general-impressions
titcoin,titcoin,0.00533427,5083712,949485322.473775,984485322.473775,691171.0,0.98585,https://www.coingecko.com/en/coins/titcoin-2
WHISKEY,whiskey,0.00501015,5008770,997499326.180212,997499326.180212,8608.3,0.54179,https://www.coingecko.com/en/coins/whiskey
Dotcom,y2k,0.00494158,4995920,1011294681.558813,1011294681.558813,15559.49,-0.45507,https://www.coingecko.com/en/coins/dotcom
METAVERSE,metav,0.00495895,4958943,1000000000.0,1000000000.0,325357.0,1.73027,https://www.coingecko.com/en/coins/metaverse
Alon,alon,0.00493951,4934765,997920365.249441,997920365.249441,306753.0,2.89506,https://www.coingecko.com/en/coins/alon
yesnoerror,yne,0.00492357,4917462,999998752.08,999998752.08,850738.0,-5.51351,https://www.coingecko.com/en/coins/yne
PEPECAT,pepecat,0.00495329,4902460,989738786.819401,989738786.819401,19533.13,0.58774,https://www.coingecko.com/en/coins/pepecat-2
CUPSEY,cupsey,0.00485168,4850539,999764262.361659,999764262.361659,731187.0,0.27347,https://www.coingecko.com/en/coins/cupsey
TASS HUB,tasshub,0.0048214,4820146,999739717.910361,999739717.910361,42638.0,3.68566,https://www.coingecko.com/en/coins/tass-hub
Smoking Chicken Fish,scf,0.00451872,4528247,999825435.668476,999825435.668476,126018.0,8.68421,https://www.coingecko.com/en/coins/smoking-chicken-fish
Chudjak,chud,0.00483894,4485384,926934675.1,926934675.1,36289.0,3.0182,https://www.coingecko.com/en/coins/chudjak
Pwease,pwease,0.00439242,4391921,999885480.098829,999885480.098829,872112.0,-4.72206,https://www.coingecko.com/en/coins/pwease
Shoggoth,shoggoth,0.00433477,4331744,999990925.940052,999990925.940052,265616.0,-2.60391,https://www.coingecko.com/en/coins/shoggoth
ASSDAQ,assdaq,0.00433083,4330594,999944438.26851,999944438.26851,479752.0,15.78465,https://www.coingecko.com/en/coins/assdaq
TEH EPIK DUCK,epik,0.00503379,4261969,846671664.01,846671664.01,147370.0,1.63297,https://www.coingecko.com/en/coins/teh-epik-duck
Worlds First Memecoin,lolcoin,0.00424642,4244773,999612857.647487,999612857.647487,250093.0,-4.98405,https://www.coingecko.com/en/coins/worlds-first-memecoin
Trencher,trencher,0.00422441,4223967,999895238.97,999895238.97,729817.0,12.54894,https://www.coingecko.com/en/coins/trencher
Butthole Coin,butthole,0.00419629,4196254,999991959.0,999991959.0,506277.0,-0.25852,https://www.coingecko.com/en/coins/butthole-coin
FRIC,fric,0.00411924,4119075,999959727.461794,999959727.461794,368540.0,-2.80807,https://www.coingecko.com/en/coins/fric
rasmr,rasmr,0.00404906,4049049,999996888.464218,999996888.464218,216870.0,-24.3501,https://www.coingecko.com/en/coins/rasmr
